sampled_at,mtime,rows,bytes
1789105984.214,1789105981.134,6,4005
1789106044.240,1789106033.421,10,6575
1789106104.276,1789106092.528,13,9101
1789106164.294,1789106153.551,18,12287
1789106224.315,1789106217.856,22,15434
1789106284.335,1789106270.857,26,18092
1789106344.351,1789106335.054,29,20800
1789106404.366,1789106385.960,33,23490
1789106464.393,1789106455.285,37,26716
1789106524.406,1789106513.215,41,29560
1789106584.430,1789106583.704,46,33018
1789106644.456,1789106632.143,49,35523
1789106704.477,1789106691.439,53,38442
1789106764.514,1789106756.717,57,41454
1789106824.531,1789106820.079,60,44238
1789106884.549,1789106883.666,63,46987
1789106944.585,1789106935.817,66,49395
1789107004.610,1789106987.483,69,51755
1789107064.634,1789107057.818,73,55025
1789107124.642,1789107110.643,77,57912
1789107184.651,1789107179.354,82,62752
1789107244.658,1789107234.145,89,67236
1789107304.666,1789107300.180,94,71506
1789107364.677,1789107358.025,100,75693
1789107424.684,1789107416.052,105,79688
1789107484.692,1789107466.124,108,82859
1789107544.699,1789107534.858,113,87491
1789107604.705,1789107601.688,118,92091
1789107664.714,1789107661.286,122,96036
1789107724.720,1789107717.986,127,100159
1789107784.730,1789107782.638,132,104625
1789107844.740,1789107836.577,137,108579
1789107904.747,1789107891.390,142,112597
1789107964.754,1789107960.315,148,117598
1789108024.761,1789108017.420,153,121676
1789108084.769,1789108080.181,158,126317
1789108144.776,1789108133.119,162,129997
1789108204.787,1789108198.568,167,134447
1789108264.795,1789108262.910,172,138857
1789108324.804,1789108313.566,177,142871
1789108384.812,1789108369.844,182,146927
1789108444.821,1789108437.619,188,151884
1789108504.832,1789108496.394,193,156319
1789108564.840,1789108554.462,198,160807
1789108624.852,1789108610.316,203,164792
1789108684.860,1789108681.040,210,170122
1789108744.868,1789108744.662,216,174796
1789108804.880,1789108803.634,220,178732
1789108864.888,1789108859.800,224,182779
1789108924.897,1789108921.920,229,187296
1789108984.906,1789108982.587,235,192087
1789109044.919,1789109033.052,239,195910
1789109104.928,1789109098.810,243,200243
1789109164.937,1789109161.482,248,204749
1789109224.948,1789109221.966,252,208935
1789109284.956,1789109271.579,255,212382
1789109344.957,1789109290.124,256,213660
1789109404.959,1789109290.124,256,213660
