arm,round_index,step,internal_cycle,internal_sem,internal_n,external_correct,external_n,external_unadjudicated,external_coverage_policy,s_select,s_select_sem,s_select_n,s_select_available,s_select_total
naive,-1,0,-2.304931640625,0.09390616655478258,64,0.2807017543859649,57,7,manifest_image_verdict_v1,0.9270833333333336,0.014672816922370081,64,316,316
naive,0,8,-2.2130126953125,0.08409627568691759,64,0.25925925925925924,54,10,manifest_image_verdict_v1,0.9140625000000002,0.01638829511131783,64,316,316
naive,1,16,-2.102294921875,0.09067484816300521,64,0.3442622950819672,61,3,manifest_image_verdict_v1,0.9466145833333334,0.012773569913496667,64,316,316
naive,2,24,-2.0445556640625,0.09534354293748444,64,0.3389830508474576,59,5,manifest_image_verdict_v1,0.92578125,0.014390398390879048,64,316,316
naive,3,32,-2.0234375,0.09440505045880669,64,0.3333333333333333,57,7,manifest_image_verdict_v1,0.9622395833333335,0.010650433737550312,64,316,316
rfo_gold,-1,0,-2.304931640625,0.09390616655478258,64,0.2807017543859649,57,7,manifest_image_verdict_v1,0.9270833333333336,0.014672816922370081,64,316,316
rfo_gold,0,8,-2.23828125,0.08896516448893928,64,0.29310344827586204,58,6,manifest_image_verdict_v1,0.9101562500000002,0.016528099517926834,64,316,316
rfo_gold,1,16,-2.0799560546875,0.0918946098565514,64,0.3220338983050847,59,5,manifest_image_verdict_v1,0.9466145833333334,0.012773569913496667,64,316,316
rfo_gold,2,24,-2.04913330078125,0.09509602027031085,64,0.3508771929824561,57,7,manifest_image_verdict_v1,0.9296875,0.01416135886210884,64,316,316
rfo_gold,3,32,-2.00482177734375,0.09496519860653187,64,0.3333333333333333,57,7,manifest_image_verdict_v1,0.9635416666666669,0.01031280897137489,64,316,316
